,cik,company_name,date,uncertain,unemploy,risk,believe,anticipate,fluctuate,indefinite,likelihood,unlikely,likely,possible,predict,recession,pandemic,total words,at,ni,roa,prcc_f,dvt,Stock Return,Industry
0,1141807,1ST CONSTITUTION BANCORP,2012-03-23,6,0,69,3,0,5,0,1,0,3,3,4,2,0,14164,840.9680000000002,5.061,0.006018065,8.76,0.0,-20.3196347,Retail Trade
1,1420525,"1st Century Bancshares, Inc.",2012-03-06,3,3,78,4,1,0,0,0,0,4,7,7,3,0,14853,499.173,2.942,0.005893748000000001,4.611000000000001,0.0,-23.22706571,Retail Trade
2,910638,3D SYSTEMS CORP,2012-02-23,16,0,43,6,7,0,0,0,0,1,3,3,2,0,6154,677.442,38.941,0.057482412,53.35,0.0,-73.00843486,Manufacturing
3,1413898,A. H. Belo CORP,2012-03-12,3,0,2,1,2,0,0,1,0,0,1,2,0,0,2722,291.939,0.526,0.001801746,4.65,10.947000000000001,237.5698925,Manufacturing
4,706688,AARON'S INC,2012-02-29,3,2,9,30,3,3,0,0,0,0,3,3,0,0,10141,1812.929,173.043,0.095449408,28.28,4.71,10.99717115,Services
5,1800,ABBOTT LABORATORIES,2012-02-21,2,0,11,1,3,0,0,0,0,0,2,2,1,0,3233,67234.944,5962.92,0.08868781099999999,65.5,2649.866,4031.444275,Manufacturing
6,867665,ABRAXAS PETROLEUM CORP,2012-03-15,6,0,30,4,4,2,0,1,0,4,2,3,1,0,9635,240.607,-18.791,-0.07809831,2.19,0.0,50.68493151,Mining
7,1070494,ACADIA PHARMACEUTICALS INC,2012-03-06,3,0,12,7,5,4,0,0,0,4,4,9,0,0,11027,108.59,-20.849,-0.191997421,4.65,0.0,-76.77419355,Manufacturing
8,1002388,"ACCELRYS, INC.",2012-03-13,6,0,18,12,9,4,0,0,0,2,2,3,2,0,7733,405.842,-10.402,-0.025630664,9.05,0.0,-25.74585635,Services
9,712034,ACCO BRANDS CORP,2012-02-23,5,0,20,5,6,0,0,1,0,3,3,2,0,0,8115,2507.7,115.4,0.046018264,7.34,0.0,31.47138965,Manufacturing
10,896159,ACE Ltd,2012-02-24,5,0,49,6,3,0,0,0,0,1,8,6,2,1,10218,92545.0,2706.0,0.029239829,79.8,200.0,238.4962406,"Finance, Insurance, and Real Estate"
11,1070336,ACHILLION PHARMACEUTICALS INC,2012-03-08,6,0,24,14,11,3,0,0,0,5,4,9,0,0,13647,81.53,-47.127,-0.578032626,8.01,0.0,-4.868913858,Manufacturing
12,1130258,ACME PACKET INC,2012-02-17,11,0,19,3,15,1,0,1,0,8,2,13,0,0,10914,579.212,-5.242000000000001,-0.009050227,22.12,0.0,39.73779385,Manufacturing
13,715579,ACNB CORP,2012-03-12,2,2,16,2,0,0,1,0,0,3,1,0,2,0,5793,1049.995,8.886000000000003,0.008462896999999999,16.18,4.524,13.43634116,Retail Trade
14,880984,"ACORN ENERGY, INC.",2012-03-15,5,0,26,20,5,1,0,1,0,1,1,3,0,0,14501,67.336,-16.711,-0.24817334,7.81,2.5069999999999997,9.436619718,Manufacturing
15,1044435,ACTIVE POWER INC,2012-03-01,5,0,19,4,7,4,0,1,0,12,5,3,3,0,6521,45.799,-1.922,-0.041965982,3.35,0.0,-80.29850746,"Finance, Insurance, and Real Estate"
16,786947,"ACURA PHARMACEUTICALS, INC",2012-03-05,5,0,10,7,8,3,1,0,0,3,1,1,0,0,12545,29.054,-9.668,-0.332759689,2.22,0.0,57.20720721,Manufacturing
17,1004724,ADCARE HEALTH SYSTEMS INC,2012-03-19,2,1,14,32,12,5,0,0,0,0,9,7,0,0,15402,234.449,-6.884,-0.029362463,4.75,0.156,-12.92631579,"Finance, Insurance, and Real Estate"
18,926282,ADTRAN INC,2012-02-29,6,0,18,8,16,6,0,2,0,1,3,9,0,1,8591,886.3810000000002,47.26300000000001,0.053321314,19.54,22.813000000000002,171.1003071,Manufacturing
19,927003,ADVANCED ENERGY INDUSTRIES INC,2012-03-02,9,0,24,5,15,3,0,1,0,3,1,6,0,0,7987,538.16,20.581,0.038243273,13.8089,0.0,-22.29648994,Manufacturing
20,1002225,ADVENT SOFTWARE INC /DE/,2012-02-29,7,0,31,22,12,4,0,1,0,1,7,10,1,1,17537,658.453,30.415,0.046191604,21.38,0.0,13.93826006,Services
21,785787,AEP INDUSTRIES INC,2012-01-17,5,0,25,23,3,3,0,0,0,0,2,1,0,0,11279,431.443,23.152,0.053661782000000005,63.93,0.0,-57.71938057,Manufacturing
22,874761,AES CORP,2012-02-27,23,0,137,12,23,2,1,2,1,16,24,22,1,0,72196,41830.0,-912.0,-0.021802534,10.7,30.0,291.0280374,"Transportation, Communications, Electric, Gas, Sanitation"
23,1004434,AFFILIATED MANAGERS GROUP INC,2012-02-23,0,0,11,3,2,1,0,0,0,2,1,0,0,0,3145,6187.1,174.0,0.02812303,130.15,0.0,-26.27737226,"Finance, Insurance, and Real Estate"
24,913077,AFFYMETRIX INC,2012-02-28,9,0,19,3,7,8,0,0,0,2,2,4,0,0,8429,544.294,-10.696,-0.019651144,3.17,0.0,29.02208202,Manufacturing
25,1514281,"AG Mortgage Investment Trust, Inc.",2012-03-19,6,0,103,10,22,1,0,2,0,17,11,12,2,0,33446,4855.567,134.936,0.027789957,23.48,62.343999999999994,251.2521295,"Finance, Insurance, and Real Estate"
26,1098972,AGENUS INC,2012-03-06,15,0,42,15,15,1,0,2,0,1,8,8,0,0,19723,29.093000000000004,-11.325,-0.389268896,4.1,0.792,-31.90243902,Manufacturing
27,917251,AGREE REALTY CORP,2012-03-12,4,0,38,9,5,0,0,1,0,4,1,1,0,0,11979,370.093,18.049,0.048768823,26.79,18.297,59.30197835,"Finance, Insurance, and Real Estate"
28,816159,AIR METHODS CORP,2012-02-29,0,1,4,4,3,1,0,0,0,1,0,1,0,0,3551,1118.863,93.152,0.083255948,36.91,91.62899999999999,377.0495801,"Transportation, Communications, Electric, Gas, Sanitation"
29,1086222,AKAMAI TECHNOLOGIES INC,2012-02-29,2,0,7,6,5,2,0,0,0,4,4,3,1,0,6606,2600.627,203.989,0.078438392,40.91,0.0,-21.09508678,Services
30,897077,ALAMO GROUP INC,2012-03-12,3,1,13,6,1,4,0,0,0,3,1,1,1,0,4338,404.339,28.903,0.071482098,32.64,2.8539999999999996,-8.75,Manufacturing
31,1089511,ALASKA COMMUNICATIONS SYSTEMS GROUP INC,2012-03-02,6,0,31,12,10,0,0,0,0,4,2,13,0,1,16508,614.727,17.409000000000002,0.028319888,1.94,6.849,408.1958763,"Transportation, Communications, Electric, Gas, Sanitation"
32,1065087,ALBANY MOLECULAR RESEARCH INC,2012-03-15,5,0,13,3,1,2,0,0,0,1,0,3,0,0,6072,262.862,-3.777,-0.014368756000000003,5.28,0.0,-44.50757576,Manufacturing
33,1145460,ALERE INC.,2012-02-29,10,4,17,6,4,3,0,0,0,2,5,5,0,0,10949,7067.928000000001,-78.182,-0.011061516,18.5,21.293000000000003,139.9081081,Manufacturing
34,3499,ALEXANDERS INC,2012-02-27,3,2,17,4,4,4,0,0,0,3,4,2,0,0,8331,1481.81,674.387,0.455110304,330.8,699.791,223.4041717,"Finance, Insurance, and Real Estate"
35,899866,ALEXION PHARMACEUTICALS INC,2012-02-17,8,0,46,11,10,2,0,3,1,5,6,5,0,0,16902,2613.56,254.822,0.097499962,93.74,0.0,-23.72519735,Manufacturing
36,1267602,ALIMERA SCIENCES INC,2012-03-30,8,0,37,10,14,1,0,0,3,8,6,2,0,0,18794,52.521,-19.746,-0.3759639,1.57,0.0,-20.38216561,Manufacturing
37,1018963,ALLEGHENY TECHNOLOGIES INC,2012-02-27,8,0,18,6,7,0,0,0,0,1,1,3,0,0,3278,6247.8,158.4,0.025352924,30.36,76.5,309.4202899,Manufacturing
38,66756,ALLETE INC,2012-02-15,6,0,16,2,0,0,0,0,0,1,0,5,0,0,2701,3253.4,97.1,0.0298457,40.98,69.1,171.0590532,"Transportation, Communications, Electric, Gas, Sanitation"
39,1122342,ALLIANCE FIBER OPTIC PRODUCTS INC,2012-03-16,5,2,8,15,7,8,0,0,1,4,3,7,2,0,11597,71.35300000000002,9.641,0.135116954,12.02,10.96,54.90848586,Manufacturing
40,1086600,ALLIANCE RESOURCE PARTNERS LP,2012-02-28,8,0,36,10,10,3,0,0,1,9,14,9,0,0,25760,1955.972,335.571,0.001800085,58.0584,256.387,423796.854,Mining
41,352541,ALLIANT ENERGY CORP,2012-02-27,3,0,19,9,12,3,1,0,2,1,0,6,2,0,24640,10785.5,335.7,0.031125122,43.91,215.2,490.5488499,"Transportation, Communications, Electric, Gas, Sanitation"
42,899051,ALLSTATE CORP,2012-02-22,9,1,41,4,6,0,0,0,0,1,2,6,2,4,7891,126947.0,2306.0,0.018165061,40.17,432.0,1043.664426,"Finance, Insurance, and Real Estate"
43,1178670,"ALNYLAM PHARMACEUTICALS, INC.",2012-02-13,12,0,35,16,14,3,0,0,1,8,4,8,0,0,18694,287.52,-106.014,-0.368718698,18.25,0.0,-55.34246575,Manufacturing
44,1016546,ALTAIR NANOTECHNOLOGIES INC,2012-03-30,7,0,33,15,15,6,1,2,0,8,1,2,0,0,17020,66.389,-17.986,-0.270918375,2.15,0.0,-69.30232558,Manufacturing
45,1141719,ALTERRA CAPITAL HOLDINGS Ltd,2012-02-24,8,0,78,14,4,3,0,1,0,3,10,11,0,0,17907,10677.078,143.806,0.013468666,28.19,58.699,192.0503725,"Finance, Insurance, and Real Estate"
46,792977,AMAG PHARMACEUTICALS INC.,2012-03-08,15,0,17,7,14,6,1,1,0,8,0,4,0,0,17698,258.137,-16.75,-0.064888025,14.71,0.0,28.55200544,Manufacturing
47,1018724,AMAZON COM INC,2012-02-01,4,0,28,2,3,2,0,0,0,0,2,2,0,0,6080,32555.0,-39.0,-0.001197973,250.87,0.0,-31.00011958,Retail Trade
48,1514991,AMC Networks Inc.,2012-03-15,1,0,19,4,3,0,1,0,0,3,3,4,0,0,13592,2618.855,136.53,0.052133471,49.5,0.0,-24.08080808,"Transportation, Communications, Electric, Gas, Sanitation"
49,896262,AMEDISYS INC,2012-02-28,3,0,30,19,5,0,0,0,0,7,9,7,0,0,19294,730.595,-83.588,-0.114410857,11.3068,0.0,-3.509392578,Services
50,855574,AMERIANA BANCORP,2012-03-29,2,2,54,8,5,2,0,0,1,3,5,1,4,0,24134,445.763,1.84,0.004127754,8.21,0.11900000000000001,-50.31668697,Retail Trade
51,1336545,"AMERICAN APPAREL, INC",2012-03-14,2,1,20,4,6,4,0,0,0,2,2,8,1,0,10595,328.212,-37.272,-0.113560747,1.01,0.0,-28.71287129,Manufacturing
52,1283630,AMERICAN CAMPUS COMMUNITIES INC,2012-02-28,1,0,37,4,4,5,0,0,0,2,2,1,1,0,7922,5118.962,56.636,0.011063962,46.13,117.59200000000001,245.8747019,"Finance, Insurance, and Real Estate"
53,1378706,AMERICAN DG ENERGY INC,2012-03-26,1,0,12,1,2,0,0,0,0,2,0,0,2,0,2847,34.739000000000004,-6.526,-0.187858027,2.31,0.0,-37.22943723,"Transportation, Communications, Electric, Gas, Sanitation"
54,4904,AMERICAN ELECTRIC POWER CO INC,2012-02-28,4,0,36,3,3,4,0,0,0,6,2,10,0,0,8260,54367.0,1259.0,0.02315743,42.68,913.0,2135.965323,"Transportation, Communications, Electric, Gas, Sanitation"
55,4962,AMERICAN EXPRESS CO,2012-02-24,12,2,80,9,4,2,0,0,0,5,3,9,0,1,14080,153140.0,4482.0,0.029267337,57.48,909.0,1563.482951,"Finance, Insurance, and Real Estate"
