,uncertain,unemploy,risk,believe,anticipate,fluctuate,indefinite,likelihood,unlikely,likely,possible,predict,recession,pandemic,total words,cik,company_name,date,at,ni,roa
0,2.0,0.0,22.0,12.0,7.0,0.0,1.0,1.0,2.0,9.0,12.0,0.0,0.0,0.0,17344.0,1606163,LIMBACH HOLDINGS INC,2015-03-10,46.199,-0.34,-0.007359467
1,5.0,0.0,57.0,5.0,11.0,1.0,0.0,0.0,0.0,1.0,4.0,7.0,0.0,0.0,9034.0,1591890,1347 PROPERTY INS HLDGS INC,2015-03-26,82.083,-1.673,-0.020381809
2,7.0,0.0,104.0,4.0,0.0,5.0,0.0,1.0,0.0,2.0,3.0,4.0,2.0,0.0,15944.0,1141807,1ST CONSTITUTION BANCORP,2015-03-26,967.9910000000001,8.664,0.008950496
3,1.0,1.0,29.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3713.0,34782,1ST SOURCE CORP,2015-02-20,5187.916,57.486000000000004,0.01108075
4,1.0,2.0,45.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,3.0,0.0,11669.0,1420525,1ST CENTURY BANCSHARES INC,2015-03-06,731.95,2.553,0.003487943
8,9.0,0.0,31.0,5.0,8.0,1.0,1.0,1.0,0.0,7.0,7.0,6.0,0.0,0.0,9781.0,1347858,22ND CENTURY GROUP INC,2015-02-06,18.371,-11.032,-0.600511676
10,6.0,2.0,14.0,3.0,5.0,2.0,0.0,0.0,0.0,5.0,2.0,4.0,0.0,0.0,15233.0,1459417,2U INC,2015-02-26,231.041,-26.733,-0.11570673599999999
11,14.0,0.0,49.0,11.0,8.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,10444.0,910638,3D SYSTEMS CORP,2015-02-26,893.275,-655.492,-0.7338076179999999
13,0.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1623.0,66740,3M CO,2015-02-12,32718.0,4833.0,0.147716853
18,2.0,0.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2382.0,1413898,A. H. BELO CORP,2015-03-06,221.50099999999998,-17.842,-0.080550426
19,11.0,0.0,42.0,26.0,25.0,7.0,0.0,0.0,1.0,8.0,10.0,19.0,1.0,0.0,25095.0,1580808,A10 NETWORKS INC,2015-03-11,192.551,-40.034,-0.207913748
20,2.0,0.0,32.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,7.0,7.0,0.0,0.0,11948.0,1606180,AAC HOLDINGS INC,2015-03-11,316.04900000000004,10.493,0.033200547999999996
21,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1889.0,824142,AAON INC,2015-02-27,232.854,45.728,0.196380565
22,4.0,2.0,20.0,7.0,4.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,5051.0,706688,AARON'S INC,2015-03-02,2658.875,135.709,0.051040008
23,2.0,0.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,3846.0,1800,ABBOTT LABORATORIES,2015-02-27,41247.0,4423.0,0.107232041
