Unnamed: 0,cik,company_name,date,uncertain,unemploy,risk,believe,anticipate,fluctuate,indefinite,likelihood,unlikely,likely,possible,predict,recession,pandemic,total words,at,ni,roa,prcc_f,dvt,Stock Return,Industry
0,946738,"1ST INDEPENDENCE FINANCIAL GROUP, INC.",2007-03-28,0.0,1.0,11.0,4.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,3406.0,347.718,-4.771,-0.013720888999999998,9.62,0.631,77.03742204,Retail Trade
1,1069996,21ST CENTURY HOLDING CO,2007-03-16,6.0,0.0,35.0,11.0,6.0,3.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,6775.0,219.361,21.28,0.09700904,13.44,5.7570000000000014,119.546131,"Finance, Insurance, and Real Estate"
2,58592,4 KIDS ENTERTAINMENT INC,2007-03-16,3.0,0.0,8.0,6.0,9.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,0.0,0.0,5760.0,151.079,-23.326,-0.154396044,13.15,0.0,38.55513308,"Finance, Insurance, and Real Estate"
3,1018840,ABERCROMBIE & FITCH CO /DE/,2007-03-30,1.0,0.0,15.0,5.0,8.0,5.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,4100.0,2567.598,475.69699999999995,0.002520119,79.59,61.33,1661242.937,Retail Trade
4,894081,ABX AIR INC,2007-03-16,0.0,0.0,11.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2421.0,1162.9669999999999,19.587,0.016842266,4.18,0.0,65.78947368,"Transportation, Communications, Electric, Gas, Sanitation"
5,899629,ACADIA REALTY TRUST,2007-03-01,1.0,0.0,22.0,5.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,11850.0,999.012,27.27,0.027296969,25.61,33.695,129.2659118,"Finance, Insurance, and Real Estate"
6,896159,ACE LTD,2007-03-01,3.0,0.0,29.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,7866.0,72090.0,2578.0,0.035760854,61.78,394.0,635.788281,"Finance, Insurance, and Real Estate"
7,1092013,ACME COMMUNICATIONS INC,2007-03-30,2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2970.0,101.979,15.293,0.149962247,2.73,0.0,83.88278388,Public Administration
8,1062478,ACTUATE CORP,2007-03-20,0.0,0.0,17.0,5.0,4.0,2.0,0.0,0.0,0.0,7.0,3.0,3.0,0.0,0.0,7827.0,169.908,20.164,0.11867598900000001,7.77,0.0,-23.55212355,Services
9,863650,ADAM INC,2007-03-27,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2408.0,59.97,3.9389999999999996,0.06568284099999999,8.37,0.0,-27.35961768,Services
10,1076167,ADOLOR CORP,2007-02-27,14.0,0.0,34.0,12.0,2.0,1.0,0.0,1.0,2.0,4.0,3.0,7.0,0.0,0.0,18646.0,178.67700000000005,-48.44300000000001,-0.271120514,4.6,0.0,63.47826087,Manufacturing
11,1158449,ADVANCE AUTO PARTS INC,2007-02-28,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1798.0,2805.566,238.317,0.084944357,37.99,24.789,58.85496183,Retail Trade
12,927003,ADVANCED ENERGY INDUSTRIES INC,2007-02-20,2.0,0.0,11.0,5.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,4737.0,459.028,34.361,0.07485599999999999,13.08,0.0,44.26605505,Manufacturing
13,2488,ADVANCED MICRO DEVICES INC,2007-03-01,12.0,0.0,25.0,21.0,22.0,1.0,0.0,0.0,0.0,3.0,4.0,6.0,0.0,0.0,29494.0,11550.0,-3379.0,-0.292554113,7.5,0.0,171.3333333,Manufacturing
14,785787,AEP INDUSTRIES INC,2007-01-16,6.0,0.0,22.0,16.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9187.0,329.028,30.052,0.091335692,39.85,0.0,32.195734,Manufacturing
15,2135,AFFILIATED COMPUTER SERVICES INC,2007-01-23,0.0,0.0,28.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,6471.0,5982.429,253.09,0.042305558,56.72,0.0,-9.009167842,Services
16,1004155,AGL RESOURCES INC,2007-02-07,2.0,0.0,31.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,4996.0,6268.0,211.0,0.03366305,37.64,123.0,330.1540914,"Transportation, Communications, Electric, Gas, Sanitation"
