,cik,company_name,date,uncertain,unemploy,risk,believe,anticipate,fluctuate,indefinite,likelihood,unlikely,likely,possible,predict,recession,pandemic,total words,at,ni,roa
2,946738,"1ST INDEPENDENCE FINANCIAL GROUP, INC.",2007-03-28,0,1,11,4,1,2,0,1,1,0,1,2,1,0,3406,347.718,-4.771,-0.013720888999999998
3,34782,1ST SOURCE CORP,2007-02-23,1,0,23,2,0,0,0,0,0,1,1,0,0,0,2322,4447.104,30.539,0.006867166
5,1069996,21ST CENTURY HOLDING CO,2007-03-16,6,0,35,11,6,3,0,0,0,1,4,3,0,0,6775,219.361,21.28,0.09700904
8,66740,3M CO,2007-02-26,0,0,3,0,1,0,0,0,0,0,2,1,0,0,871,24694.0,4096.0,0.165870252
9,58592,4 KIDS ENTERTAINMENT INC,2007-03-16,3,0,8,6,9,0,0,0,0,3,5,4,0,0,5760,151.079,-23.326,-0.154396044
10,1042809,"A.C. Moore Arts & Crafts, Inc.",2007-03-12,1,0,6,25,8,4,0,0,0,1,0,2,1,0,9830,321.89,3.783,0.011752462
14,1018840,ABERCROMBIE & FITCH CO /DE/,2007-03-30,1,0,15,5,8,5,0,1,0,1,2,2,0,0,4100,2567.598,475.69699999999995,0.002520119
21,867665,ABRAXAS PETROLEUM CORP,2007-03-14,3,0,19,3,0,2,0,0,0,2,0,3,0,0,4825,147.119,56.702,0.385415888
22,894081,ABX AIR INC,2007-03-16,0,0,11,2,1,0,0,1,1,1,2,0,0,0,2421,1162.9669999999999,19.587,0.016842266
24,1070494,ACADIA PHARMACEUTICALS INC,2007-03-09,3,0,12,7,5,4,0,0,0,4,1,9,0,0,10039,134.584,-56.39,-0.41899482899999996
25,899629,ACADIA REALTY TRUST,2007-03-01,1,0,22,5,8,0,0,0,0,2,2,0,0,0,11850,999.012,27.27,0.027296969
28,817979,ACCURIDE CORP,2007-03-09,0,0,15,3,7,1,0,0,0,1,0,2,0,0,6962,1113.634,-8.639,-0.007757486
29,896159,ACE LTD,2007-03-01,3,0,29,6,0,0,0,0,0,3,4,5,0,0,7866,72090.0,2578.0,0.035760854
39,1070336,ACHILLION PHARMACEUTICALS INC,2007-03-29,4,0,16,12,10,1,0,1,0,2,3,5,0,0,10359,35.632,-28.101999999999997,-0.7886731029999999
40,1092013,ACME COMMUNICATIONS INC,2007-03-30,2,0,8,0,1,0,0,0,0,4,0,2,0,0,2970,101.979,15.293,0.149962247
42,2098,ACME UNITED CORP,2007-03-15,1,0,7,3,4,0,0,0,0,0,1,0,0,0,1672,42.222,4.022,0.095258396
46,1062478,ACTUATE CORP,2007-03-20,0,0,17,5,4,2,0,0,0,7,3,3,0,0,7827,169.908,20.164,0.11867598900000001
47,786947,"ACURA PHARMACEUTICALS, INC",2007-03-15,2,0,4,1,6,3,0,0,0,1,1,1,0,0,6363,45.628,-4.314,-0.09454720800000001
50,863650,ADAM INC,2007-03-27,0,0,5,1,1,0,0,0,0,0,1,4,0,0,2408,59.97,3.9389999999999996,0.06568284099999999
56,1000753,ADMINISTAFF INC \DE\,2007-02-12,1,13,11,14,0,0,0,0,0,0,2,3,0,0,8449,560.651,47.492,0.084708669
58,1076167,ADOLOR CORP,2007-02-27,14,0,34,12,2,1,0,1,2,4,3,7,0,0,18646,178.67700000000002,-48.443000000000005,-0.271120514
59,926282,ADTRAN INC,2007-02-28,3,0,7,3,7,5,0,0,0,0,3,8,0,0,4638,479.22,76.335,0.159290096
60,1158449,ADVANCE AUTO PARTS INC,2007-02-28,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1798,2805.566,238.317,0.084944357
61,1104042,ADVANCED ANALOGIC TECHNOLOGIES INC,2007-03-08,2,0,11,9,17,3,0,0,0,2,1,4,1,0,8323,176.468,1.886,0.01068749
62,927003,ADVANCED ENERGY INDUSTRIES INC,2007-02-20,2,0,11,5,3,4,0,0,0,2,0,4,0,0,4737,459.028,34.361,0.07485599999999999
64,1168335,ADVANCED MEDICAL OPTICS INC,2007-03-01,7,0,22,3,13,2,0,0,0,1,0,1,0,0,10835,2748.336,-192.949,-0.07020575400000001
65,2488,ADVANCED MICRO DEVICES INC,2007-03-01,12,0,25,21,22,1,0,0,0,3,4,6,0,0,29494,11550.0,-3379.0,-0.292554113
72,919956,ADVOCAT INC,2007-03-14,0,0,7,0,1,1,0,1,0,2,1,2,0,0,2470,110.09,9.387,0.08526660000000001
74,785787,AEP INDUSTRIES INC,2007-01-16,6,0,22,16,0,8,0,0,0,1,0,0,0,0,9187,329.028,30.052,0.091335692
80,908598,AETRIUM INC,2007-03-28,1,0,5,1,2,0,0,0,0,3,0,0,0,0,975,26.583000000000002,6.697,0.25192792399999997
82,2135,AFFILIATED COMPUTER SERVICES INC,2007-01-23,0,0,28,2,1,2,0,0,1,1,2,2,0,0,6471,5982.429,253.09,0.042305558
90,933405,AFTERMARKET TECHNOLOGY CORP,2007-03-01,0,0,8,21,1,2,0,0,0,1,1,1,0,0,7357,389.374,39.607,0.101719683
93,1004155,AGL RESOURCES INC,2007-02-07,2,0,31,2,4,0,0,0,0,3,3,1,0,0,4996,6268.0,211.0,0.03366305
94,917251,AGREE REALTY CORP,2007-03-14,1,0,26,2,3,0,0,0,0,4,1,1,0,0,3290,239.34799999999998,15.482000000000001,0.064684058
